id;ans_register;social_reason;modality;obs;created_by
9bce054d-c07b-4224-b1ff-5224b9232700;27;SALUTAR SAÚDE SEGURADORA S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
ec2a64c8-9024-404b-bf11-5035fdb07124;477;MARÍTIMA SAÚDE SEGUROS S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
d89071ba-6ee5-45c0-840a-1af05945d9c0;515;ALLIANZ SAÚDE S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
158c15c9-6b82-4b74-a4e8-295c1cf20940;582;PORTO SEGURO - SEGURO SAÚDE S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
df9ff391-80f5-47a6-a65d-a5b54c3c3428;701;UNIMED SEGUROS SAÚDE S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
fb349076-de3e-4de1-9a23-1758cbf8efe8;884;ITAUSEG SAÚDE S.A.;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
16d0a516-f425-42b4-90ea-15d2204b2e70;5622;SUL AMÉRICA SAÚDE COMPANHIA DE SEGUROS;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
24501749-6b32-4ac1-a055-c2307df8b09c;5711;BRADESCO SAÚDE S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;true;admin
687aa40c-302d-4cd9-abfe-4cd637913353;6246;SUL AMERICA COMPANHIA DE SEGURO SAÚDE;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
60be56f9-85ca-43e2-a344-0ae9f600badd;6980;NOTRE DAME SEGURADORA S/A;SPECIALIZED_HEALTH_INSURANCE_COMPANY;false;admin
f2f5287c-65df-45e8-9a93-7dbd003cc207;300012;CEMIL CENTRO MEDICO DE ITU LTDA.;MEDICAL_COOPERATIVE;false;admin
45ba366f-5c5a-48c9-92dc-94fe1223e141;300136;UNIMED LITORAL SUL/RS - COOPERATIVA MÉDICA LTDA.;MEDICAL_COOPERATIVE;false;admin
ccbaa768-5619-46b1-94bf-28ede786f4e7;300195;UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA;DENTAL_COOPERATIVE;false;admin
add54e4b-49d1-4994-ad5a-7ad4d507b60d;300365;METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA;DENTISTRY_GROUP;false;admin
121a05d3-2a59-428a-b62c-78ab14f7b1f6;300713;UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;MEDICAL_COOPERATIVE;false;admin
df10917d-a673-4e4b-9216-209724cc2269;300730;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;DENTISTRY_GROUP;false;admin
